"","benchmark","dataset","algorithm","FM","AR"
"183","sipu","pathbased","hclust_complete",0.595415157925218,0.345520724742111
"184","sipu","pathbased","hclust_average",0.652631304153718,0.443642303528723
"185","sipu","pathbased","hclust_mcquitty",0.579524846086521,0.355175449510833
"186","sipu","pathbased","hclust_median",0.501657410766135,0.162262622430353
"187","sipu","pathbased","hclust_centroid",0.647547083450942,0.425268395370624
"188","sipu","pathbased","genie",0.751088497419812,0.613272308050801
"189","sipu","pathbased","spectral",0.677079784108138,0.511810165455866
"190","sipu","r15","hclust_complete",0.979923199186615,0.978524258898896
"191","sipu","r15","hclust_average",0.989959432972079,0.989259995246671
"192","sipu","r15","hclust_mcquitty",0.976682838182811,0.975057533608047
"193","sipu","r15","hclust_median",0.800314948318814,0.772031365115187
"194","sipu","r15","hclust_centroid",0.983297095185873,0.982133301049403
"195","sipu","r15","genie",0.986584668833494,0.985650095985955
"196","sipu","r15","spectral",0.887964601813897,0.878688582933191
"197","sipu","s1","hclust_complete",0.972992116429932,0.971062167115048
"198","sipu","s1","hclust_average",0.982824947904038,0.981599047547291
"199","sipu","s1","hclust_mcquitty",0.818649506658317,0.801684641060835
"200","sipu","s1","hclust_median",0.680256421087956,0.648208674035196
"201","sipu","s1","hclust_centroid",0.981843883190681,0.980547432716824
"202","sipu","s1","genie",0.988793343809604,0.987993465874293
"203","sipu","s1","spectral",0.834273292251444,0.808282689072015
"204","sipu","s2","hclust_complete",0.806599007340051,0.790872518551814
"205","sipu","s2","hclust_average",0.918425752430635,0.912602074550962
"206","sipu","s2","hclust_mcquitty",0.70300165460718,0.67863653910799
"207","sipu","s2","hclust_median",0.53874204766097,0.481035979925642
"208","sipu","s2","hclust_centroid",0.805886214055429,0.77930808676527
"209","sipu","s2","genie",0.920886855009393,0.915229034538748
"210","sipu","s2","spectral",0.62650517595827,0.540886603559383
"211","sipu","s3","hclust_complete",0.54836504988297,0.509250385401546
"212","sipu","s3","hclust_average",0.636391529157112,0.595741220700183
"213","sipu","s3","hclust_mcquitty",0.469779621468676,0.418929461229187
"214","sipu","s3","hclust_median",0.466850013629879,0.406798291850875
"215","sipu","s3","hclust_centroid",0.574457568312716,0.49391887766102
"216","sipu","s3","genie",0.689895070064636,0.665104198267615
"217","sipu","s3","spectral",0.731785105723464,0.710753917082855
"218","sipu","s4","hclust_complete",0.468044979388417,0.417118713915594
"219","sipu","s4","hclust_average",0.546192126138897,0.492565817388555
"220","sipu","s4","hclust_mcquitty",0.438297041281948,0.371297005957674
"221","sipu","s4","hclust_median",0.379666217189791,0.284321370238174
"222","sipu","s4","hclust_centroid",0.512156760231267,0.429642124766024
"223","sipu","s4","genie",0.620276705705524,0.590911069740441
"224","sipu","s4","spectral",0.673268083104261,0.648165716733938
"225","sipu","spiral","hclust_complete",0.338499071283009,0.00184103769941931
"226","sipu","spiral","hclust_average",0.357273005024422,-0.00225812816618304
"227","sipu","spiral","hclust_mcquitty",0.345692419434698,0.00171002244128603
"228","sipu","spiral","hclust_median",0.331754229368921,-0.00263680056753377
"229","sipu","spiral","hclust_centroid",0.385862275788058,0.00895854474288207
"230","sipu","spiral","genie",1,1
"231","sipu","spiral","spectral",0.747079958499537,0.610884392676055
"232","sipu","unbalance","hclust_complete",0.774934260928907,0.612466342912506
"233","sipu","unbalance","hclust_average",1,1
"234","sipu","unbalance","hclust_mcquitty",0.775147915264123,0.612735494359253
"235","sipu","unbalance","hclust_median",0.775147915264123,0.612735494359253
"236","sipu","unbalance","hclust_centroid",0.999983476565497,0.999976887161302
"237","sipu","unbalance","genie",0.729922646159503,0.623750737529922
"238","sipu","unbalance","spectral",0.924161810562917,0.89358805997771
"239","wut","cross","hclust_complete",0.596972782436622,0.358730732110167
"240","wut","cross","hclust_average",0.490459269030767,0.00133870543728866
"241","wut","cross","hclust_mcquitty",0.475379457627155,0.0449260716347448
"242","wut","cross","hclust_median",0.475852974384442,0.00613850128556951
"243","wut","cross","hclust_centroid",0.494816262244691,0.000234252685068158
"244","wut","cross","genie",0.62364164762008,0.463351540403616
"245","wut","cross","spectral",0.566617432961897,0.255066914816995
"246","wut","smile","hclust_complete",0.647170494868662,0.499293559824069
"247","wut","smile","hclust_average",0.690313193303266,0.574631216936805
"248","wut","smile","hclust_mcquitty",0.624335784883202,0.484454714102284
"249","wut","smile","hclust_median",0.625721839903615,0.480915766526699
