,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,target,meanshift,3.0,0.7873715873600592,0.6455732865164031,0.6269876437547921
0,fcps,target,linkage_single,4.0,0.7044991244022015,0.1712805403373951,0.04376710633780077
0,fcps,target,linkage_average,4.0,0.7044991244022015,0.1712805403373951,0.04376710633780077
0,fcps,target,linkage_weighted,4.0,0.7044991244022015,0.1712805403373951,0.04376710633780077
0,fcps,target,linkage_centroid,4.0,0.7044991244022015,0.1712805403373951,0.04376710633780077
0,fcps,target,linkage_median,4.0,0.7044991244022015,0.1712805403373951,0.04376710633780077
0,fcps,target,linkage_ward,4.0,0.6986862226802477,0.45869025973727817,0.44348138137941523
0,fcps,target,genie,4.0,0.9849825469611299,0.9383050282960691,0.9702086783899794
0,fcps,target,kmeans,4.0,0.8229638631288326,0.6875562492002025,0.6837330342582761
0,fcps,target,dbscan,4.0,0.9998119390805301,0.9859175714868579,0.999634881516244
0,fcps,target,meanshift,4.0,0.7873715873600592,0.6455732865164031,0.6269876437547921
0,fcps,target,linkage_single,5.0,0.7072854360711457,0.22226147350630163,0.05826802539984859
0,fcps,target,linkage_average,5.0,0.7072854360711457,0.22226147350630163,0.05826802539984859
0,fcps,target,linkage_weighted,5.0,0.7072854360711457,0.22226147350630163,0.05826802539984859
0,fcps,target,linkage_centroid,5.0,0.7072854360711457,0.22226147350630163,0.05826802539984859
0,fcps,target,linkage_median,5.0,0.7072854360711457,0.22226147350630163,0.05826802539984859
0,fcps,target,linkage_ward,5.0,0.8071106197090162,0.6621990440118133,0.658268921995756
0,fcps,target,genie,5.0,0.9849825469611299,0.9383050282960691,0.9702086783899794
0,fcps,target,kmeans,5.0,0.8052354860303211,0.6601170553958006,0.6552741707017764
0,fcps,target,dbscan,5.0,0.9998119390805301,0.9859175714868579,0.999634881516244
0,fcps,target,meanshift,5.0,0.7873715873600592,0.6455732865164031,0.6269876437547921
0,fcps,target,linkage_single,6.0,1.0,1.0000000000000002,1.0
0,fcps,target,linkage_average,6.0,0.6576649848154996,0.3301569382299379,0.1455921882157087
0,fcps,target,linkage_weighted,6.0,0.6840722312283917,0.4384999589403948,0.29940105861149996
0,fcps,target,linkage_centroid,6.0,0.7072854360711457,0.22226147350630163,0.05826802539984859
0,fcps,target,linkage_median,6.0,0.6586973418730802,0.3514046927580046,0.17231808167514606
